step,survival_probability,expected_alive_1e3,expected_alive_1e4,expected_alive_1e5,expected_alive_1e6,expected_alive_1e7
375,0.0006,0.6,5.999999999999999,59.99999999999999,600.0,5999.999999999999
376,0.0006,0.6,5.999999999999999,59.99999999999999,600.0,5999.999999999999
377,0.0006,0.6,5.999999999999999,59.99999999999999,600.0,5999.999999999999
378,0.0006,0.6,5.999999999999999,59.99999999999999,600.0,5999.999999999999
379,0.0006,0.6,5.999999999999999,59.99999999999999,600.0,5999.999999999999
380,0.0006,0.6,5.999999999999999,59.99999999999999,600.0,5999.999999999999
381,0.0006,0.6,5.999999999999999,59.99999999999999,600.0,5999.999999999999
382,0.0006,0.6,5.999999999999999,59.99999999999999,600.0,5999.999999999999
383,0.0006,0.6,5.999999999999999,59.99999999999999,600.0,5999.999999999999
384,0.0005,0.5,5.0,50.0,500.0,5000.0
385,0.0005,0.5,5.0,50.0,500.0,5000.0
386,0.0005,0.5,5.0,50.0,500.0,5000.0
387,0.0005,0.5,5.0,50.0,500.0,5000.0
388,0.0004,0.4,4.0,40.0,400.0,4000.0
389,0.0003,0.3,2.9999999999999996,29.999999999999996,300.0,2999.9999999999995
390,0.0003,0.3,2.9999999999999996,29.999999999999996,300.0,2999.9999999999995
391,0.0003,0.3,2.9999999999999996,29.999999999999996,300.0,2999.9999999999995
392,0.0003,0.3,2.9999999999999996,29.999999999999996,300.0,2999.9999999999995
393,0.0003,0.3,2.9999999999999996,29.999999999999996,300.0,2999.9999999999995
394,0.0003,0.3,2.9999999999999996,29.999999999999996,300.0,2999.9999999999995
395,0.0003,0.3,2.9999999999999996,29.999999999999996,300.0,2999.9999999999995
396,0.0003,0.3,2.9999999999999996,29.999999999999996,300.0,2999.9999999999995
397,0.0003,0.3,2.9999999999999996,29.999999999999996,300.0,2999.9999999999995
398,0.0003,0.3,2.9999999999999996,29.999999999999996,300.0,2999.9999999999995
399,0.0003,0.3,2.9999999999999996,29.999999999999996,300.0,2999.9999999999995
400,0.0003,0.3,2.9999999999999996,29.999999999999996,300.0,2999.9999999999995
401,0.0003,0.3,2.9999999999999996,29.999999999999996,300.0,2999.9999999999995
402,0.0003,0.3,2.9999999999999996,29.999999999999996,300.0,2999.9999999999995
403,0.0003,0.3,2.9999999999999996,29.999999999999996,300.0,2999.9999999999995
404,0.0003,0.3,2.9999999999999996,29.999999999999996,300.0,2999.9999999999995
405,0.0003,0.3,2.9999999999999996,29.999999999999996,300.0,2999.9999999999995
406,0.0003,0.3,2.9999999999999996,29.999999999999996,300.0,2999.9999999999995
407,0.0003,0.3,2.9999999999999996,29.999999999999996,300.0,2999.9999999999995
408,0.0002,0.2,2.0,20.0,200.0,2000.0
409,0.0002,0.2,2.0,20.0,200.0,2000.0
410,0.0002,0.2,2.0,20.0,200.0,2000.0
411,0.0002,0.2,2.0,20.0,200.0,2000.0
412,0.0002,0.2,2.0,20.0,200.0,2000.0
413,0.0002,0.2,2.0,20.0,200.0,2000.0
414,0.0002,0.2,2.0,20.0,200.0,2000.0
415,0.0002,0.2,2.0,20.0,200.0,2000.0
416,0.0002,0.2,2.0,20.0,200.0,2000.0
417,0.0002,0.2,2.0,20.0,200.0,2000.0
418,0.0002,0.2,2.0,20.0,200.0,2000.0
419,0.0002,0.2,2.0,20.0,200.0,2000.0
420,0.0002,0.2,2.0,20.0,200.0,2000.0
