trial,final_step,trapped,boundary_dead,contact_dead
739,163,1,0,0
740,72,1,0,0
741,31,1,0,0
742,29,1,0,0
743,22,1,0,0
744,96,1,0,0
745,32,1,0,0
746,110,1,0,0
747,21,1,0,0
748,32,1,0,0
749,79,1,0,0
750,109,1,0,0
751,74,1,0,0
752,18,1,0,0
753,166,1,0,0
754,14,1,0,0
755,45,1,0,0
756,57,1,0,0
757,19,1,0,0
758,28,1,0,0
759,88,1,0,0
760,22,1,0,0
761,102,1,0,0
762,75,1,0,0
763,135,1,0,0
764,22,1,0,0
765,26,1,0,0
766,53,1,0,0
767,85,1,0,0
768,39,1,0,0
769,49,1,0,0
770,19,1,0,0
771,10,1,0,0
772,51,1,0,0
773,30,1,0,0
774,96,1,0,0
775,103,1,0,0
776,45,1,0,0
777,39,1,0,0
778,38,1,0,0
779,42,1,0,0
780,87,1,0,0
781,21,1,0,0
782,88,1,0,0
783,36,1,0,0
784,43,1,0,0
785,88,1,0,0
786,155,1,0,0
787,30,1,0,0
788,37,1,0,0
789,121,1,0,0
790,11,1,0,0
791,39,1,0,0
792,72,1,0,0
793,143,1,0,0
794,12,1,0,0
795,132,1,0,0
796,89,1,0,0
797,19,1,0,0
798,53,1,0,0
799,108,1,0,0
800,21,1,0,0
801,39,1,0,0
802,55,1,0,0
803,45,1,0,0
804,49,1,0,0
805,52,1,0,0
806,94,1,0,0
807,52,1,0,0
808,73,1,0,0
809,20,1,0,0
810,7,1,0,0
811,61,1,0,0
812,43,1,0,0
813,87,1,0,0
814,37,1,0,0
815,48,1,0,0
816,36,1,0,0
817,73,1,0,0
818,40,1,0,0
819,98,1,0,0
820,39,1,0,0
821,46,1,0,0
822,65,1,0,0
823,42,1,0,0
824,105,1,0,0
825,148,1,0,0
826,42,1,0,0
827,31,1,0,0
828,90,1,0,0
829,79,1,0,0
830,103,1,0,0
831,106,1,0,0
832,57,1,0,0
833,65,1,0,0
834,62,1,0,0
835,94,1,0,0
836,108,1,0,0
837,41,1,0,0
838,83,1,0,0
839,82,1,0,0
840,97,1,0,0
841,43,1,0,0
842,69,1,0,0
843,7,1,0,0
844,15,1,0,0
845,77,1,0,0
846,154,1,0,0
847,85,1,0,0
848,115,1,0,0
849,62,1,0,0
850,111,1,0,0
851,41,1,0,0
852,60,1,0,0
853,110,1,0,0
854,71,1,0,0
855,172,1,0,0
856,52,1,0,0
857,48,1,0,0
858,47,1,0,0
859,39,1,0,0
860,137,1,0,0
861,23,1,0,0
862,67,1,0,0
863,49,1,0,0
864,72,1,0,0
865,67,1,0,0
866,108,1,0,0
867,37,1,0,0
868,39,1,0,0
869,25,1,0,0
870,45,1,0,0
871,52,1,0,0
872,137,1,0,0
873,9,1,0,0
874,25,1,0,0
875,33,1,0,0
876,64,1,0,0
877,81,1,0,0
878,57,1,0,0
879,13,1,0,0
880,8,1,0,0
881,64,1,0,0
882,27,1,0,0
